pricing_scenario,version,pricing_scenario_name,date,variable,EU,China,Others,India,Turkey,South Korea,United States,United Kingdom
default,v2,USD60/bbl (actual),2024-02-16,value_tonne,163772.56693146378,563482.6707933027,275051.78055377357,322842.7303571429,225151.85077339903,57472.394673571434,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-17,value_tonne,170479.79166236662,585233.7319247313,297684.32952545927,323604.7909285714,229196.43027339902,73490.23327571429,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-18,value_tonne,170208.71640588736,590235.4683533028,296833.26373803354,318417.02999999997,237430.1765591133,70886.67903071428,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-19,value_tonne,159916.37821419304,588845.7294247313,284764.4940078557,324726.6957142857,256445.03155911333,69904.63317357142,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-20,value_tonne,161269.88527547094,579126.2402818742,278473.74177329213,307559.8387142857,255645.49448768474,59637.419173571434,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-21,value_tonne,160798.04555099877,571753.3570161599,301650.44923287357,310037.3802142857,251659.54255911332,61433.10531642857,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-22,value_tonne,160140.45048765233,570144.4609447314,290663.7906852807,304595.95621428575,257357.22155911333,63097.24438785714,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-23,value_tonne,157120.19897046662,582018.4023733027,280671.51114048,276708.54321428575,263993.1691305419,61406.60153071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-24,value_tonne,159166.22072893736,588127.4184447314,279033.5409716386,294445.1002142857,259400.2795591133,66550.387245,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-25,value_tonne,170490.08683940308,582838.9140603741,275738.5023907815,283837.765,257058.6368448276,76935.98010214286,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-26,value_tonne,170182.5229511052,568225.8379095885,261348.50408028715,271588.7648571429,273123.8683448276,71300.69438785713,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-27,value_tonne,164665.0233750145,573120.0653381599,248921.15001652998,251868.45771428573,277847.3156305419,77050.90867357142,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-28,value_tonne,154999.01234981595,581900.8057867313,257685.56779835286,270927.12764285714,270493.0549876847,71743.40867357142,0.0,0.0
default,v2,USD60/bbl (actual),2024-02-29,value_tonne,151118.96501744664,549418.3057867313,265174.7785255486,273919.45114285714,262591.65077339904,69151.05153071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-01,value_tonne,155733.63314015613,555282.6047434547,257599.65515631143,275544.548,258504.21787319245,78090.55153071428,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-02,value_tonne,154590.8966693392,564938.7562830353,256607.22570482074,274765.43635714287,257621.41618727162,62072.71292857143,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-03,value_tonne,157652.5244855394,571686.6795969015,272766.1426204543,284376.6630714286,257780.43907277932,59204.50378571429,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-04,value_tonne,171896.90784258465,568897.5956250534,265677.28150235285,283861.68278571434,246225.24867257272,53630.76392857143,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-05,value_tonne,164159.96918622914,600167.5672960625,264547.71547573357,281573.3711428571,242731.6754152233,56773.46364285715,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-06,value_tonne,157450.0440763065,597565.2984470716,253558.37021329856,306744.8202142857,237171.61737215956,63090.79330571429,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-07,value_tonne,154492.89183624528,605075.2914037949,252863.8811754593,312049.54635714286,234984.52254338158,63431.95587714286,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-08,value_tonne,153779.60875488122,623205.6316462326,263562.77096710645,344416.2468712143,229702.43557174644,63595.670162857146,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-09,value_tonne,158390.47088009358,635437.5674600989,263236.119063845,327852.4752997857,230944.25210011128,64325.69852,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-10,value_tonne,146193.0743152488,637407.3098453936,270577.0875848143,341328.8398712143,230128.80048561897,59048.605662857146,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-11,value_tonne,146028.96492952187,629740.6149449741,274755.691213715,335716.9865855,229191.97615684097,67244.53173428572,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-12,value_tonne,145362.0688764635,629535.9251874118,291716.57659167,349507.7371569286,225655.84482806295,60711.608336428566,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-13,value_tonne,143567.26690858018,617103.1354812781,306189.7875272186,340090.89022835717,232247.66728499925,67065.82262214285,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-14,value_tonne,154523.57569645395,635509.2172237157,311958.89992140926,323456.92358550004,237826.58909907835,66057.21919357144,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-15,value_tonne,156161.2144361804,628498.5204380015,354902.5542426343,342773.3780855,236914.23617050695,60396.71919357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-16,value_tonne,155724.6867642975,613092.04700943,354803.74877209356,342554.51529978577,241944.59388479264,60396.71919357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-17,value_tonne,150228.9245509811,620033.9030808585,349508.10478377575,350995.60572835716,226017.48167050694,65867.34962214285,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-18,value_tonne,138740.25825264465,638571.9287951442,348992.29686760856,337954.1595140714,221157.3208133641,70062.42105071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-19,value_tonne,139238.51406213467,620998.5564380015,374971.5577475564,330465.2689426429,228364.20145622123,66919.72133642857,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-20,value_tonne,145540.12941511252,639658.0378665728,377632.98078832997,300104.2532283572,225434.35017050695,56983.17738785715,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-21,value_tonne,147754.61111953467,651086.9785808586,361541.87037566217,322449.6235855,220701.66659907837,63413.350061428566,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-22,value_tonne,147869.73484529965,633798.59400943,361148.25523659785,304373.61178571434,216806.47802764978,66732.2072042857,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-23,value_tonne,151631.09221615965,635119.4491522871,351011.8402039964,314092.7124285715,206875.73959907837,64505.75027571428,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-24,value_tonne,151496.35790687398,612424.4889380013,343396.8654394028,290537.9055714286,206282.9207419355,65482.96456142857,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-25,value_tonne,156099.8280669625,634961.9277316442,337295.6100509586,287764.7117857143,205770.82288479264,57287.03849,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-26,value_tonne,156392.34432893823,610808.6580887871,334434.380578655,299143.4184285714,196025.10452764976,57625.104745000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-27,value_tonne,158557.45613794323,624896.0271602158,324847.79093539214,282831.06414285715,190881.64367050695,56388.81903071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-28,value_tonne,146109.87436749754,640847.132088787,325455.3024561621,296472.7072857143,206931.10045622123,61532.604745000004,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-29,value_tonne,139596.98707096823,638293.4760173586,309705.85068715643,281271.2904285714,210674.1049562212,57337.53331642858,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-30,value_tonne,136860.36851226966,642924.12494593,303151.54404962354,283207.15985714283,207779.61359907835,57337.53331642858,0.0,0.0
default,v2,USD60/bbl (actual),2024-03-31,value_tonne,144450.85232268323,628983.4461802157,309177.65521336073,262424.342,209987.3204562212,58146.331459285706,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-01,value_tonne,150527.44680453607,614601.4560920837,329025.95951182005,294044.8635714286,210143.92173179725,59333.09863285714,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-02,value_tonne,152602.89364891106,616487.0651468089,334100.3725645514,301482.4622857143,201456.59415023043,71448.31291857142,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-03,value_tonne,151478.13784690676,627644.2541301055,341539.30200372357,298662.644,215888.09306866358,76414.06113285714,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-04,value_tonne,149071.07129996605,602901.9299905449,338307.6784884557,307928.9947857143,209982.43027281106,71159.87253071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-05,value_tonne,152218.52142799532,618948.8772595559,357433.0134673907,315705.64535714284,201230.7619769585,71649.45717357143,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-06,value_tonne,133606.8446727989,598810.9929571381,367363.761511895,339322.02121428575,214932.11496682026,76677.90895928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-07,value_tonne,139751.5449881446,623152.2797618632,366184.2853976778,361042.4985714285,217559.36367096775,75066.85345928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-08,value_tonne,133146.91822391673,623165.8653292313,367524.5158099878,366348.9332142857,203305.22287511523,75066.85345928572,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-09,value_tonne,136437.77773239955,639282.8213325279,369041.2097544436,353527.04600000003,210510.48079354843,69834.63917357144,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-10,value_tonne,132849.33614047026,652317.1094586815,370690.8007554421,371332.406,199524.9979262673,78460.78720428572,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-11,value_tonne,141155.63218897025,639619.9425134069,364901.4484830321,402494.43921428575,183139.45948755761,73690.43006142857,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-12,value_tonne,139760.22542481453,634072.1491395605,357925.1587398914,386867.29328571435,165088.64076313368,70749.57291857143,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-13,value_tonne,139342.16385099737,627806.5483371428,352900.9967122121,374245.5652857143,174057.0889672811,72985.93006142857,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-14,value_tonne,135390.4003818059,632573.235871868,346366.25963435,378505.3885,181591.38267142858,66582.71577571428,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-15,value_tonne,127761.2790729302,623589.7076575822,326573.9988630622,340591.69585714285,172577.17924285712,60357.02003071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-16,value_tonne,124484.48626422235,643263.1426061537,296429.77212666214,332742.99521428574,174414.97274285715,50204.02003071429,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-17,value_tonne,126017.55702298449,609365.1890347252,281453.57881384285,337321.19950000005,163084.2721,58601.087173571425,0.0,0.0
default,v2,USD60/bbl (actual),2024-04-18,value_tonne,125509.41453825662,643199.2416575822,298550.04567208927,306014.6952142857,155956.46624285713,59744.73003071429,0.0,0.0
